iter	Logloss
0	0.5803221704
1	0.5150603531
2	0.4501732288
3	0.4116185089
4	0.3724774671
5	0.3487800837
6	0.3357674287
7	0.3143329038
8	0.2966461617
9	0.2864069669
10	0.2787039484
11	0.2716462377
12	0.2514405724
13	0.2434789854
14	0.2311819281
15	0.2264739044
16	0.2226671982
17	0.2190240733
18	0.2168347294
19	0.2145481269
20	0.2115414135
21	0.2088451511
22	0.2067174615
23	0.2042541576
24	0.2022332652
25	0.2004016925
26	0.1934802624
27	0.1878388963
28	0.1851193866
29	0.1830629184
30	0.1777093766
31	0.1753976509
32	0.1737822656
33	0.1720743825
34	0.1688567123
35	0.1673792698
36	0.1659731315
37	0.1642728678
38	0.1623765991
39	0.1604142439
40	0.1588877376
41	0.1576156938
42	0.1563631685
43	0.1545716027
44	0.153540768
45	0.1498459796
46	0.1493339702
47	0.1485225109
48	0.1464743382
49	0.1455456596
50	0.1435316464
51	0.1428386331
52	0.1420013576
53	0.1404918756
54	0.1393556615
55	0.1388742909
56	0.1375634841
57	0.1370396372
58	0.1358602696
59	0.1336148401
60	0.132685512
61	0.1316463495
62	0.130796601
63	0.1300975089
64	0.128160808
65	0.1268871084
66	0.1265634297
67	0.1244191768
68	0.1229981419
69	0.1224672972
70	0.1220478606
71	0.1214315236
72	0.1211117775
73	0.1198639518
74	0.1190754561
75	0.1173890959
76	0.1166659686
77	0.1158718909
78	0.1153188625
79	0.1148757925
80	0.1141710642
81	0.113759176
82	0.1131140629
83	0.1121704011
84	0.1117547261
85	0.1108397946
86	0.1104618148
87	0.1100620027
88	0.1092729358
89	0.10886245
90	0.1080437811
91	0.1077129909
92	0.1071623424
93	0.1065579325
94	0.1061453833
95	0.1054575656
96	0.1050100647
97	0.1044291004
98	0.1041617819
99	0.1033398627
