iter	Passed	Remaining
0	153	15226
1	155	7624
2	158	5112
3	159	3839
4	161	3073
5	163	2563
6	165	2199
7	167	1920
8	168	1705
9	170	1532
10	171	1391
11	173	1273
12	175	1172
13	176	1085
14	178	1010
15	179	944
16	181	886
17	183	834
18	184	786
19	186	744
20	187	706
21	189	671
22	191	639
23	192	610
24	194	583
25	195	557
26	197	534
27	199	512
28	200	491
29	202	472
30	204	454
31	205	437
32	207	420
33	208	405
34	210	390
35	211	376
36	213	363
37	215	350
38	216	338
39	218	327
40	220	316
41	221	305
42	223	295
43	224	286
44	226	276
45	228	267
46	229	259
47	231	250
48	233	242
49	234	234
50	236	227
51	238	219
52	239	212
53	241	205
54	242	198
55	244	192
56	246	185
57	247	179
58	249	173
59	250	167
60	252	161
61	254	155
62	255	150
63	257	144
64	258	139
65	260	134
66	262	129
67	264	124
68	265	119
69	267	114
70	269	109
71	270	105
72	272	100
73	274	96
74	275	91
75	277	87
76	278	83
77	280	79
78	282	75
79	283	70
80	285	66
81	287	63
82	288	59
83	290	55
84	291	51
85	293	47
86	295	44
87	297	40
88	298	36
89	300	33
90	301	29
91	303	26
92	305	22
93	306	19
94	308	16
95	309	12
96	311	9
97	312	6
98	314	3
99	315	0
